x,y,z,ESP
1.406,2.126,-3.008,0.0088
3.668,0.439,-2.339,0.0065
3.713,2.163,-2.172,0.016
2.523,3.433,-2.005,0.0199
0.777,3.578,-1.838,0.0215
4.2,-0.542,-0.835,0.0044
4.741,1.166,-0.668,0.015
4.237,2.89,-0.501,0.0207
2.861,4.047,-0.334,0.0234
1.072,4.256,-0.167,0.0254
4.387,-0.094,1.003,0.0077
4.531,1.721,1.17,0.0166
3.571,3.271,1.337,0.0209
1.866,3.923,1.504,0.0223
3.58,0.975,2.506,0.0092
2.584,2.564,2.673,0.015
0,-0.143,-4.021,0.0146
-0.259,0.964,-3.857,-0.0066
-1.589,-0.056,-3.693,-0.011
-1.03,-1.773,-3.529,-0.0215
0.788,-2.199,-3.365,-0.0234
2.275,-1.01,-3.201,-0.0136
2.415,0.914,-3.037,0.0027
-0.759,2.731,-2.708,0.0131
-3.241,-0.067,-2.38,0.001
-2.795,-2,-2.216,-0.0152
-1.323,-3.339,-2.052,-0.0249
0.65,-3.634,-1.888,-0.0265
2.47,-2.807,-1.723,-0.0195
3.572,-1.135,-1.559,-0.0045
-3.866,-1.171,-0.41,-0.0015
-2.882,-2.937,-0.246,-0.0175
-1.156,-3.994,-0.082,-0.0259
0.868,-4.069,0.082,-0.0265
2.67,-3.14,0.246,-0.0192
3.783,-1.445,0.41,-0.0044
-3.601,-1.024,1.559,-0.0034
-2.523,-2.758,1.723,-0.0191
-0.674,-3.63,1.888,-0.0265
1.35,-3.327,2.052,-0.0248
2.844,-1.925,2.216,-0.0146
0.452,2.795,2.708,0.0128
-2.573,0.431,3.037,-0.0009
-1.979,-1.561,3.201,-0.0177
-0.043,-2.345,3.365,-0.0245
1.665,-1.116,3.529,-0.0169
1.156,0.951,3.693,-0.0048
-0.949,0.483,3.857,-0.0092
0,-0.143,4.021,-0.0146
-1.87,2.126,-3.008,0.0101
-3.054,1.208,-2.841,0.0081
-0.753,3.433,-2.005,0.0204
-2.499,3.578,-1.838,0.0207
-3.934,2.556,-1.671,0.0185
-4.42,0.855,-1.504,0.0123
-3.771,-0.797,-1.337,0.0001
-0.415,4.047,-0.334,0.027
-2.204,4.256,-0.167,0.0241
-3.816,3.446,0,0.0221
-4.719,1.882,0.167,0.0179
-4.612,0.077,0.334,0.0097
-1.41,3.923,1.504,0.0226
-3.154,3.37,1.671,0.0206
-4.135,1.82,1.838,0.0157
-3.826,0.008,2.005,0.005
-2.558,2.216,2.841,0.0128
